video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73AOovb4-ZbJO,UgwpGq0Gy41AzGypRIF4AaABAg,@hooman6305,UCL9I0HRzpstv6A1zqm7GX6g,@joshuarowlands8399 he is not bad ... but calling him elite its a efing joke,NA,2025-10-28T10:53:55Z,2025-10-28 06:53:55,1
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73AP9CFRjuBRC,UgwpGq0Gy41AzGypRIF4AaABAg,@mg0dzillla17,UCC2Aub1lJ2boY-uk2v031Aw,​​@hooman6305 He's better than you at least. Which is easy. I am better than you too. You are a and the bloody joke. Stay off the salt and get a life.,en,2025-11-05T17:12:10Z,2025-11-05 12:12:10,1
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73AP9CKtY2UwN,UgwpGq0Gy41AzGypRIF4AaABAg,@mg0dzillla17,UCC2Aub1lJ2boY-uk2v031Aw,​@hooman6305You are a bloody joke.,en,2025-11-05T17:12:55Z,2025-11-05 12:12:55,1
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73APOyDUy2VJY,UgwpGq0Gy41AzGypRIF4AaABAg,@StinkyTeal,UC3boT1gggJ685ZouZBEU0tA,"Who in the world in ""Yuen""???????? Never ever heard that name",en,2025-11-11T20:08:41Z,2025-11-11 15:08:41,2
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73APgs8139o6M,UgwpGq0Gy41AzGypRIF4AaABAg,@AtomTheReactive,UC1x9G_DrKcjnDhNOh7sXu-w,"@StinkyTeal Glenn from Walking Dead, voices Mark Grayson in Invincible, and more.",en,2025-11-19T04:21:04Z,2025-11-18 23:21:04,1
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73AQAuRAe6Wiz,UgwpGq0Gy41AzGypRIF4AaABAg,@TanjiroGetEm,UCIU36FUsyczzevUk_zGYNIA,Goated,en,2025-12-01T05:37:37Z,2025-12-01 00:37:37,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgznGvozoYxSREgIm6F4AaABAg.AMz8EOwTDKKAN4HLa3j4zt,UgznGvozoYxSREgIm6F4AaABAg,@BenAffleck-j1p,UCtmeMeREE1Tfima75J9JIwQ,"Hey fan, can we talk on my private account",en,2025-09-15T02:17:42Z,2025-09-14 22:17:42,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgxpcRDQm3qjYZfc3l54AaABAg.AMz7FRB1tLfAN4HYCrVh5f,UgxpcRDQm3qjYZfc3l54AaABAg,@BenAffleck-j1p,UCtmeMeREE1Tfima75J9JIwQ,"Hey fan, can we talk on my private account",en,2025-09-15T02:19:26Z,2025-09-14 22:19:26,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,Ugy1LTwAES6PSrLKJ914AaABAg.AMz5KPKcYXqAMz7P93IFFb,Ugy1LTwAES6PSrLKJ914AaABAg,@JackPott3000,UCTHELxVuxeEmuZjmtpnT35w,SCOTT ADKINS!!!!!!,NA,2025-09-12T16:55:22Z,2025-09-12 12:55:22,1
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,Ugy1LTwAES6PSrLKJ914AaABAg.AMz5KPKcYXqAMzt55QNHFW,Ugy1LTwAES6PSrLKJ914AaABAg,@KB-fromDK,UCJo7PoAkeOPyoe95y1j7tIg,@JackPott3000 yeah he's a legend too :),NA,2025-09-13T00:00:48Z,2025-09-12 20:00:48,1
