video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAL6op15ZPl3,UgxXDsf4XJx3GYwCrpN4AaABAg,@daividsonpinheiro29,UCQCU2n2aAHQ7tDk73NuW4aA,​@unknown-eo1bjA melhor cantora do mundo,pt,2025-07-28T08:54:39Z,2025-07-28 04:54:39,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAL6ou90Z7bY,UgxXDsf4XJx3GYwCrpN4AaABAg,@daividsonpinheiro29,UCQCU2n2aAHQ7tDk73NuW4aA,​@oldwowmovies4641Evanescence atemporal.,NA,2025-07-28T08:55:21Z,2025-07-28 04:55:21,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAL6oxJo6Q4i,UgxXDsf4XJx3GYwCrpN4AaABAg,@daividsonpinheiro29,UCQCU2n2aAHQ7tDk73NuW4aA,​@Cycycham999falou tudo,NA,2025-07-28T08:55:47Z,2025-07-28 04:55:47,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTALA52r19npn,UgxXDsf4XJx3GYwCrpN4AaABAg,@kirihikoazuma8045,UCidof7dYd29IoazNcjNAnbA,FN’ Awesome!,en,2025-07-29T15:22:57Z,2025-07-29 11:22:57,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTALQpJ0nnaiI,UgxXDsf4XJx3GYwCrpN4AaABAg,@Steven-jd5ob,UC_hj0FttBclwQtASMVKczAQ,Always,sr,2025-08-05T03:23:42Z,2025-08-04 23:23:42,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTALS3O0iFfKf,UgxXDsf4XJx3GYwCrpN4AaABAg,@СЛАВАЗСУ-ф7м,UC8qOS_GO_s20ZZrqkneJdAQ,"Yes, I am here, and I welcome you. 😊",en,2025-08-05T14:54:41Z,2025-08-05 10:54:41,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTALV7QPjOfhw,UgxXDsf4XJx3GYwCrpN4AaABAg,@sr.zumitos6162,UCzZcjelWHBqQCPL4Ei00yGg,HELL YEAH🗣🗣🗣,en,2025-08-06T19:27:41Z,2025-08-06 15:27:41,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTALk4DM0Z69W,UgxXDsf4XJx3GYwCrpN4AaABAg,@Infirion,UCgiy455L4pu_swkkqpCWeYw,"Combined with devil may cry, now that's a match made in heaven",en,2025-08-13T00:07:32Z,2025-08-12 20:07:32,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTALzeoGY5qwB,UgxXDsf4XJx3GYwCrpN4AaABAg,@henriquekosta3542,UCOcGOEBrmyPasATbkxk5JAg,Para sempre,NA,2025-08-19T01:24:38Z,2025-08-18 21:24:38,1
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAM0Yfa757oM,UgxXDsf4XJx3GYwCrpN4AaABAg,@Kyle11011,UCEs5Gc4AoC7y-odp1gbj0HQ,Every year!,en,2025-08-19T19:00:46Z,2025-08-19 15:00:46,2
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAM1eAvjWVpP,UgxXDsf4XJx3GYwCrpN4AaABAg,@mevsDogmanvsBigfoot,UCvsj8i6jxim5OURpYDHYUUw,Love Evanescence and devil May cry the perfect antidote😂,en,2025-08-20T05:16:51Z,2025-08-20 01:16:51,1
