video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgysPfpQDepHDkYl7Od4AaABAg,NA,@irvinesteban,UCAQUuZ-GRxxsP0haPcJ7yCQ,Cancelen esa madre,NA,2025-03-28T14:08:47Z,2025-03-28 10:08:47,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgysBoAXsYr-0Uz8LXJ4AaABAg,NA,@TheKeystoneChannel,UCZpAe-J4auVs_AqyHVbqfKg,"The fake DTS drama...whomever starts watching F1 due to this manipulated fantasy docu, will learn quickly how unrealistic Netflix portays everything",en,2025-03-28T09:44:23Z,2025-03-28 05:44:23,1,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgxDyJ6mN9Xgckr4uUx4AaABAg,NA,@mayankseth6684,UC97rZgJH2C-NoFBRBbMF9Lg,Gunther was impacted after getting sacked I can see that on his face😂,en,2025-03-28T02:39:19Z,2025-03-27 22:39:19,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzcvDbufogqOUNDS7R4AaABAg,NA,@dachosenone207,UChHM2QsUfVf1MYdMWiJWRZg,The Episode with the BOIS is so fun. Hope they create a channel together after F1,en,2025-03-25T22:23:44Z,2025-03-25 18:23:44,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgwccRem0VnkVg59jR14AaABAg,NA,@stannnik,UCIaI_hGqpukyl1Wg7_SUO4A,"I subscribe Netflix for one month every year, only for this series",en,2025-03-24T16:17:23Z,2025-03-24 12:17:23,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgyfBCapyehgLGmkcex4AaABAg,NA,@hubberthlara4896,UCp2Gyh_RHycb3QMZlSH2rdA,Gay🎉,es,2025-03-23T18:29:10Z,2025-03-23 14:29:10,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgxkINlnu38wsD5yOmF4AaABAg,NA,@Ubermensch2099,UC9jQYe57d7qYymQgRO14aTg,This is the best sports series on Netflix hands down 🏎️🏎️🏎️,en,2025-03-22T18:02:02Z,2025-03-22 14:02:02,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,Ugzz0P07SfNngkKUTi94AaABAg,NA,@karrde593,UCsQPeqjogF9lQYLu_nqXE-g,"I love claire williams, shes absolutely great, but to see her used so frequently as a dei fluff liner is unwatchable and disrespectful. Business as usual, of course ;)",en,2025-03-22T11:38:38Z,2025-03-22 07:38:38,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgxLGS8v_pickeqx4ot4AaABAg,NA,@c.v.338,UCwWD6jTTCCfOjHozs9F8UPw,Yawn fest this season.  Whole thing has been sanitized to death.  A whole episode on a driver signing?  No conflicts with anyone.  Good bedtime story - looks more and more like what it is - spoiled people racing around a donut.,en,2025-03-22T06:41:53Z,2025-03-22 02:41:53,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgwHIaoEEOXJDJBeaoR4AaABAg,NA,@gvi341984,UCL8BBi_x9RIW7wDAtK152uA,So what happen to the last episode? Wht happen to this show? No conclusions or anything,en,2025-03-21T05:18:25Z,2025-03-21 01:18:25,0,0
